2026-02-14 01:10:43 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:10:43 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 01:10:43 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 01:10:45 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 01:26:38 | app.views.inventario_view | ERROR    | Error al construir la interfaz: module 'flet' has no attribute 'icons'
Traceback (most recent call last):
  File "/workspaces/control-entradas-salidas/app/views/inventario_view.py", line 49, in _build_ui
    icon=ft.Icons.REFRESH_ROUNDED,
         ^^^^^^^^
AttributeError: module 'flet' has no attribute 'icons'. Did you mean: 'Icons'?
2026-02-14 01:29:05 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:41:36 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:43:07 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:45:06 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:45:06 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 01:45:06 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 01:45:08 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 01:45:08 | app.views.inventario_view | ERROR    | Error al crear tarjeta de categoría: module 'flet' has no attribute 'animation'
2026-02-14 01:51:47 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:51:47 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 01:51:47 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 01:51:49 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 01:54:51 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 01:54:52 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 01:54:52 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 01:54:53 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 02:54:06 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 02:54:07 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 02:54:07 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 02:54:09 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 03:04:46 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-14 03:04:46 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-14 03:04:46 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-14 03:04:48 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-14 03:05:08 | app.views.inventario_view | INFO     | InventarioView montada
